VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2018 Dec 31 11:23:47 PM,2018 Dec 31 11:27:45 PM,1,0.49,1,N,236,236,1,4.5,0.5,0.5,1.16,0,0.3,6.96
2,2018 Dec 31 11:23:47 PM,2018 Dec 31 11:40:39 PM,1,1.29,1,N,107,164,1,11.5,0.5,0.5,3.84,0,0.3,16.64
2,2018 Dec 31 11:23:47 PM,2018 Dec 31 11:31:09 PM,1,0.7,1,N,79,113,1,6,0.5,0.5,1,0,0.3,8.3
2,2018 Dec 31 11:23:46 PM,2018 Dec 31 11:35:21 PM,1,2.56,1,N,236,170,1,11,0.5,0.5,2.46,0,0.3,14.76
1,2018 Dec 31 11:23:46 PM,2018 Dec 31 11:37:16 PM,4,2.5,1,N,100,140,1,11,0.5,0.5,2,0,0.3,14.3
1,2018 Dec 31 11:23:46 PM,2018 Dec 31 11:32:08 PM,1,0.4,1,N,114,249,1,6.5,0.5,0.5,1.55,0,0.3,9.35
2,2018 Dec 31 11:23:46 PM,2018 Dec 31 11:25:29 PM,2,0.41,1,N,234,113,1,3.5,0.5,0.5,1.44,0,0.3,6.24
1,2018 Dec 31 11:23:46 PM,2018 Dec 31 11:28:38 PM,1,0.5,1,N,148,4,1,5,0.5,0.5,0,0,0.3,6.3
1,2018 Dec 31 11:23:45 PM,2018 Dec 31 11:32:41 PM,1,0.7,1,N,229,237,1,7,0.5,0.5,1,0,0.3,9.3
2,2018 Dec 31 11:23:45 PM,2018 Dec 31 11:41:44 PM,1,5.83,1,N,114,263,1,19.5,0.5,0.5,4.16,0,0.3,24.96
2,2018 Dec 31 11:23:45 PM,2018 Dec 31 11:30:52 PM,2,1.52,1,N,238,43,2,7.5,0.5,0.5,0,0,0.3,8.8
1,2018 Dec 31 11:23:45 PM,2018 Dec 31 11:56:30 PM,1,18.6,2,N,132,234,1,52,0,0.5,11.7,5.76,0.3,70.26
2,2018 Dec 31 11:23:44 PM,2018 Dec 31 11:26:53 PM,1,0.62,1,N,75,74,1,4.5,0.5,0.5,0,0,0.3,5.8
1,2018 Dec 31 11:23:44 PM,2018 Dec 31 11:27:31 PM,2,0.7,1,N,144,113,1,4.5,0.5,0.5,1.4,0,0.3,7.2
2,2018 Dec 31 11:23:44 PM,2018 Dec 31 11:49:50 PM,1,8.39,1,N,161,69,2,26.5,0.5,0.5,0,0,0.3,27.8
2,2018 Dec 31 11:23:43 PM,2018 Dec 31 11:27:20 PM,1,0.63,1,N,239,142,1,5,0.5,0.5,1.57,0,0.3,7.87
2,2018 Dec 31 11:23:43 PM,2018 Dec 31 11:31:44 PM,1,1.44,1,N,162,163,1,7.5,0.5,0.5,1.76,0,0.3,10.56
1,2018 Dec 31 11:23:42 PM,2018 Dec 31 11:29:54 PM,2,1.3,1,N,211,231,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2018 Dec 31 11:23:40 PM,2018 Dec 31 11:29:09 PM,1,1.14,1,N,237,142,1,6,0.5,0.5,1.82,0,0.3,9.12
2,2018 Dec 31 11:23:40 PM,2018 Dec 31 11:39:01 PM,5,6.86,1,N,140,244,1,20.5,0.5,0.5,2.2,0,0.3,24
1,2018 Dec 31 11:23:40 PM,2018 Dec 31 11:32:35 PM,1,1,1,N,148,4,2,7,0.5,0.5,0,0,0.3,8.3
2,2018 Dec 31 11:23:40 PM,2018 Dec 31 11:28:07 PM,3,1.26,1,N,48,239,1,6,0.5,0.5,1.46,0,0.3,8.76
1,2018 Dec 31 11:23:40 PM,2018 Dec 31 11:31:53 PM,1,1.2,1,N,163,229,1,7,0.5,0.5,1.7,0,0.3,10
2,2018 Dec 31 11:23:40 PM,2018 Dec 31 11:29:27 PM,1,1.42,1,N,239,151,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2018 Dec 31 11:23:40 PM,2018 Dec 31 11:36:12 PM,1,1.72,1,N,239,161,1,9.5,0.5,0.5,2,0,0.3,12.8
1,2018 Dec 31 11:23:40 PM,2018 Dec 31 11:33:56 PM,1,1.7,1,N,236,229,1,9,0.5,0.5,1.12,0,0.3,11.42
1,2018 Dec 31 11:23:39 PM,2018 Dec 31 11:25:42 PM,1,0.3,1,Y,262,140,2,3.5,0.5,0.5,0,0,0.3,4.8
2,2018 Dec 31 11:23:38 PM,2018 Dec 31 11:49:57 PM,1,8.08,1,N,138,116,1,27,0.5,0.5,10,0,0.3,38.3
2,2018 Dec 31 11:23:38 PM,2018 Dec 31 11:27:44 PM,1,1.22,1,N,138,129,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2018 Dec 31 11:23:38 PM,2018 Dec 31 11:31:51 PM,1,1.73,1,N,50,158,1,8,0.5,0.5,1.08,0,0.3,10.38
1,2018 Dec 31 11:23:38 PM,2018 Dec 31 11:33:10 PM,1,1.3,1,N,100,246,1,8,0.5,0.5,1.85,0,0.3,11.15
2,2018 Dec 31 11:23:37 PM,2018 Dec 31 11:31:41 PM,2,1.66,1,N,238,143,1,7.5,0.5,0.5,1.76,0,0.3,10.56
1,2018 Dec 31 11:23:37 PM,2018 Dec 31 11:34:01 PM,1,1.9,1,N,239,140,1,9,0.5,0.5,1,0,0.3,11.3
2,2018 Dec 31 11:23:36 PM,2018 Dec 31 11:29:06 PM,1,1.28,1,N,41,116,1,6,0.5,0.5,2.19,0,0.3,9.49
2,2018 Dec 31 11:23:36 PM,2018 Dec 31 11:36:06 PM,5,2.57,1,N,209,107,2,11,0.5,0.5,0,0,0.3,12.3
2,2018 Dec 31 11:23:35 PM,2018 Dec 31 11:35:50 PM,1,2.34,1,N,234,231,2,10.5,0.5,0.5,0,0,0.3,11.8
2,2018 Dec 31 11:23:34 PM,2018 Dec 31 11:34:03 PM,1,2.72,1,N,186,143,1,10,0.5,0.5,1.7,0,0.3,13
1,2018 Dec 31 11:23:34 PM,2018 Dec 31 11:40:20 PM,1,4.5,1,N,161,260,2,16,0.5,0.5,0,0,0.3,17.3
1,2018 Dec 31 11:23:34 PM,2018 Dec 31 11:34:05 PM,3,2.9,1,N,146,164,2,11,0.5,0.5,0,0,0.3,12.3
2,2018 Dec 31 11:23:33 PM,2018 Dec 31 11:30:07 PM,1,0.83,1,N,262,236,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2018 Dec 31 11:23:33 PM,2018 Dec 31 11:37:11 PM,2,1,1,N,162,162,2,10,0.5,0.5,0,0,0.3,11.3
2,2018 Dec 31 11:23:33 PM,2018 Dec 31 11:27:53 PM,1,0.86,1,N,239,142,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2018 Dec 31 11:23:32 PM,2018 Dec 31 11:30:56 PM,1,1.69,1,N,239,43,1,8,0.5,0.5,1,0,0.3,10.3
2,2018 Dec 31 11:23:32 PM,2018 Dec 31 11:28:13 PM,1,0.45,1,N,237,237,1,4.5,0.5,0.5,1.16,0,0.3,6.96
1,2018 Dec 31 11:23:32 PM,2018 Dec 31 11:26:14 PM,1,1,1,Y,264,264,1,5,0.5,0.5,1.55,0,0.3,7.85
2,2018 Dec 31 11:23:31 PM,2018 Dec 31 11:34:52 PM,1,2.78,1,N,24,48,1,10.5,0.5,0.5,2.95,0,0.3,14.75
1,2018 Dec 31 11:23:31 PM,2018 Dec 31 11:43:58 PM,1,3,1,N,68,141,1,15.5,0.5,0.5,3.35,0,0.3,20.15
4,2018 Dec 31 11:23:31 PM,2018 Dec 31 11:37:26 PM,1,2.52,1,N,42,151,1,11.5,0.5,0.5,0,0,0.3,12.8
1,2018 Dec 31 11:23:30 PM,2018 Dec 31 11:32:18 PM,1,1.7,1,N,164,107,2,8,0.5,0.5,0,0,0.3,9.3
2,2018 Dec 31 11:23:30 PM,2018 Dec 31 11:30:10 PM,1,2.28,1,N,233,263,2,8.5,0.5,0.5,0,0,0.3,9.8
1,2018 Dec 31 11:23:29 PM,2018 Dec 31 11:30:45 PM,1,1.7,1,N,75,41,2,8,0.5,0.5,0,0,0.3,9.3
2,2018 Dec 31 11:23:29 PM,2018 Dec 31 11:31:49 PM,1,3.15,1,N,244,243,2,11,0.5,0.5,0,0,0.3,12.3
2,2018 Dec 31 11:23:29 PM,2018 Dec 31 11:23:56 PM,1,0.04,1,N,162,162,3,-2.5,-0.5,-0.5,0,0,-0.3,-3.8
2,2018 Dec 31 11:23:29 PM,2018 Dec 31 11:47:07 PM,2,4.59,1,N,13,161,2,19,0.5,0.5,0,0,0.3,20.3
2,2018 Dec 31 11:23:29 PM,2018 Dec 31 11:31:53 PM,4,0.36,1,N,186,186,1,6.5,0.5,0.5,1.56,0,0.3,9.36
1,2018 Dec 31 11:23:29 PM,2018 Dec 31 11:53:02 PM,3,3.5,1,N,239,234,1,18.5,0.5,0.5,3.95,0,0.3,23.75
2,2018 Dec 31 11:23:29 PM,2018 Dec 31 11:23:56 PM,1,0.04,1,N,162,162,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2018 Dec 31 11:23:28 PM,2018 Dec 31 11:43:06 PM,1,7.7,1,N,166,4,2,24,0.5,0.5,0,0,0.3,25.3
1,2018 Dec 31 11:23:28 PM,2018 Dec 31 11:33:25 PM,3,2,1,N,229,224,2,9,0.5,0.5,0,0,0.3,10.3
2,2018 Dec 31 11:23:27 PM,2018 Dec 31 11:35:08 PM,1,1.79,1,N,42,151,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2018 Dec 31 11:23:27 PM,2018 Dec 31 11:37:26 PM,2,2.1,1,N,229,262,2,10.5,0.5,0.5,0,0,0.3,11.8
1,2018 Dec 31 11:23:27 PM,2018 Dec 31 11:25:41 PM,2,0.4,1,N,142,239,1,3.5,0.5,0.5,1.4,0,0.3,6.2
